name,id,cur_rank,prev_rank,world,dc,points,portrait,tier,wins,job
Monkasteer Pioneer,12016538,1,3,Gilgamesh,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,SGE
John Darksouls,32702843,2,0,Adamantoise,Aether,0,f1fbda91f49b5975e8a2cb80a74e40ad_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1657183981,Crystal,0,PLD
Neo Dymium,33030676,3,0,Siren,Aether,0,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,0,MNK
Zadnor Sasquatch,32616815,4,1,Sargatanas,Aether,1093,https://img.finalfantasyxiv.com/lds/h/i/wZ2T_KCer_XZH9C5rAlej2xIsE.png,Crystal,25,MCH
Celesse Archon,5403993,5,38,Midgardsormr,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,RDM
Hope Juliet,35588968,6,0,Siren,Aether,0,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,0,BLM
Farsa Aed,5068221,7,72,Midgardsormr,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,RPR
Violent Destruction,15630676,8,5,Sargatanas,Aether,0,https://img.finalfantasyxiv.com/lds/h/i/wZ2T_KCer_XZH9C5rAlej2xIsE.png,Crystal,0,MNK
Serif Spiegel,1791314,9,14,Adamantoise,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,MNK
Vannes Mercer,2848782,10,0,Jenova,Aether,0,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,0,DRK
Lil Kongming,43770543,11,0,Adamantoise,Aether,0,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,0,GNB
Finnea Partisan,5591198,12,4,Gilgamesh,Aether,603,https://img.finalfantasyxiv.com/lds/h/i/wZ2T_KCer_XZH9C5rAlej2xIsE.png,Crystal,39,WAR
Sir Moon,17116119,13,71,Cactuar,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,GNB
Zeke Ewoza,38693513,14,9,Sargatanas,Aether,0,https://img.finalfantasyxiv.com/lds/h/i/wZ2T_KCer_XZH9C5rAlej2xIsE.png,Crystal,0,NIN
Tomo Kote,38176817,15,0,Gilgamesh,Aether,0,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,0,WAR
Koko Jojozan,38875097,16,0,Sargatanas,Aether,0,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,0,WHM
Fryar Vagrant,27459700,17,69,Jenova,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,MNK
Noga Cosnoh,12058107,18,27,Cactuar,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,SGE
Space Out,37989898,19,45,Sargatanas,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,SCH
Cadence Cantus,33044984,20,39,Jenova,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,BRD
Naizuo Xandal,24378815,21,6,Jenova,Aether,588,https://img.finalfantasyxiv.com/lds/h/i/wZ2T_KCer_XZH9C5rAlej2xIsE.png,Crystal,31,SGE
Ebil Minalinsky,18847477,22,76,Cactuar,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,MCH
Rami B',15739523,23,7,Adamantoise,Aether,507,https://img.finalfantasyxiv.com/lds/h/i/wZ2T_KCer_XZH9C5rAlej2xIsE.png,Crystal,30,SGE
Knox Xonk,18336233,24,21,Adamantoise,Aether,0,https://img.finalfantasyxiv.com/lds/h/i/wZ2T_KCer_XZH9C5rAlej2xIsE.png,Crystal,0,SMN
Rerako Bo,38949043,25,37,Jenova,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,BLM
Moshu Kyoi,29734191,26,61,Faerie,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,MCH
Wmwmwmwmwmwmw Soikky,9472774,27,11,Sargatanas,Aether,0,https://img.finalfantasyxiv.com/lds/h/i/wZ2T_KCer_XZH9C5rAlej2xIsE.png,Crystal,0,WAR
Glace Tempest,31774369,28,48,Faerie,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,NIN
Ni Xi,42307832,29,8,Jenova,Aether,499,https://img.finalfantasyxiv.com/lds/h/i/wZ2T_KCer_XZH9C5rAlej2xIsE.png,Crystal,17,BLM
Judith Heart,7476975,30,0,Adamantoise,Aether,0,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,0,RPR
Unique Tang,20316185,31,40,Cactuar,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,MNK
Be Lieve,27244527,32,0,Sargatanas,Aether,495,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,22,NIN
Johanna Everlark,5115817,33,0,Siren,Aether,0,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,0,BRD
Pat Bingsoo,6875605,34,12,Gilgamesh,Aether,398,https://img.finalfantasyxiv.com/lds/h/i/wZ2T_KCer_XZH9C5rAlej2xIsE.png,Crystal,40,SMN
Cyris Tm,28898424,35,19,Siren,Aether,0,https://img.finalfantasyxiv.com/lds/h/i/wZ2T_KCer_XZH9C5rAlej2xIsE.png,Crystal,0,NIN
San Za,29526979,36,13,Cactuar,Aether,397,https://img.finalfantasyxiv.com/lds/h/i/wZ2T_KCer_XZH9C5rAlej2xIsE.png,Crystal,28,MNK
Alcohaul Lavalliere,25195609,37,20,Sargatanas,Aether,0,https://img.finalfantasyxiv.com/lds/h/i/wZ2T_KCer_XZH9C5rAlej2xIsE.png,Crystal,0,PLD
Gala Aurora,41293767,38,17,Adamantoise,Aether,0,https://img.finalfantasyxiv.com/lds/h/i/wZ2T_KCer_XZH9C5rAlej2xIsE.png,Crystal,0,RDM
Eralyn Tyralon,4010380,39,46,Gilgamesh,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,MCH
Geraldine Kerla,2805538,40,0,Faerie,Aether,304,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,23,BRD
Envy's Sin,5275788,41,0,Gilgamesh,Aether,0,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,0,MCH
Medorii Tenosu,20481554,42,100,Jenova,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,DRG
Jay Verhundred,43607851,43,0,Adamantoise,Aether,300,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,16,MNK
Saitenji Saizo,14834870,44,0,Cactuar,Aether,0,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,0,FSH
Coarse Roughman,24853617,45,54,Gilgamesh,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,WAR
Micro Uryade,37487800,46,84,Sargatanas,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,PLD
First Name,39082032,47,81,Gilgamesh,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,PLD
Dementia Praecox,24212135,48,0,Midgardsormr,Aether,0,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,0,SMN
Jay Vermillion,20310837,49,0,Adamantoise,Aether,0,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,0,MNK
Star Eater,3331179,50,64,Adamantoise,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,SMN
Rukaka Ruka,34081156,51,74,Midgardsormr,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,MNK
Rilect Valeriant,31883544,52,0,Adamantoise,Aether,0,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,0,AST
Berry Sundae,22199634,53,25,Midgardsormr,Aether,203,https://img.finalfantasyxiv.com/lds/h/i/wZ2T_KCer_XZH9C5rAlej2xIsE.png,Crystal,23,SGE
Ayla Sylvanni,30749252,54,0,Adamantoise,Aether,0,f27fc2d66ded19c7d98211409584b035_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1657185154,Crystal,0,MCH
Phantom Rush,43189387,55,0,Gilgamesh,Aether,202,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,12,MNK
Mochi Snack,39084708,56,0,Adamantoise,Aether,0,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,0,SAM
Lenna Casey,9493914,57,78,Gilgamesh,Aether,0,https://img.finalfantasyxiv.com/lds/h/Q/SFkR8_xz0dwwiHC4c3dA1b2M3E.png,Crystal,0,RPR
Hasuki Dragonmaid,16185714,58,0,Jenova,Aether,0,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,0,SAM
Ventus Deus,34346488,59,0,Jenova,Aether,0,https://img.finalfantasyxiv.com/lds/h/q/jt9XfqaesFaOUpd_7KrSGekyKY.png,Crystal,0,SCH
Camarac Nightblood,18112908,60,27,Faerie,Aether,200,https://img.finalfantasyxiv.com/lds/h/i/wZ2T_KCer_XZH9C5rAlej2xIsE.png,Crystal,22,DNC
