name,id,cur_rank,prev_rank,world,dc,points,points_delta,portrait,tier,wins,wins_delta,job
Cliffe Zanza,36074329,1,0,Spriggan,Chaos,5395,0,d8d2fa78adb447ec4b6d5d747f5d5f84_feaf0a2e88ff164813fbc9b85876fa48fc0.jpg?1736849666,Crystal,968,23,MNK
Miyu Edelfelt,21335430,2,0,Phoenix,Light,5204,211,ba690d74246b4d07f543f0d9516feec2_5047bc596a4bab2dc7f7c120bb22dec5fc0.jpg?1736849176,Crystal,457,7,AST
Milk Jds,10570379,3,0,Zodiark,Light,4495,0,cf8503b76a559329b409ac7cfe329e0c_c274370774c6bc3483cc8740805f41bcfc0.jpg?1736849113,Crystal,840,11,AST
Maarato Cookie,20349526,4,0,Twintania,Light,4464,0,dbab16598b86bb31b2eb96070f723572_c33f640c0cdd35f7def85b8aa31a0007fc0.jpg?1736849756,Crystal,345,2,PCT
Shino Yaru,38308969,5,0,Phoenix,Light,4359,0,0662727bb913ed7fe3009f3542ea1e64_5047bc596a4bab2dc7f7c120bb22dec5fc0.jpg?1736849210,Crystal,407,6,SGE
Doctor Zafari,16879977,6,0,Cerberus,Chaos,4289,0,5a436bd301321720ffe4db8947a142a5_777c57311d510ca65dac3c1077dee435fc0.jpg?1736850226,Crystal,187,0,NIN
Tsukuyo Ritlas,37800185,7,10,Odin,Light,4278,101,eca30840fe0bed8e80f620b5f57c49de_644311b63b607133c989d7c1188467dafc0.jpg?1736849123,Crystal,420,4,RDM
Mamiyama Kamimama,37371304,8,7,Spriggan,Chaos,4265,0,3c6fd6569d3dce40308c9a2a1f3c3bfa_feaf0a2e88ff164813fbc9b85876fa48fc0.jpg?1736849665,Crystal,496,6,PLD
White Noise',47747214,9,8,Raiden,Light,4208,0,3bf617bec1a403388f9c3c43700db590_a370664d98f658f4ed4e620f378f73cdfc0.jpg?1736850779,Crystal,463,4,NIN
Prisma Tic,38791879,10,9,Cerberus,Chaos,4184,0,5220c35172bb26154c862a6d485e37b8_777c57311d510ca65dac3c1077dee435fc0.jpg?1736851048,Crystal,633,19,RPR
Saboree Catboy,36051653,11,0,Spriggan,Chaos,4104,0,b61ec1080d608b5a83f30baef219dc02_feaf0a2e88ff164813fbc9b85876fa48fc0.jpg?1736848533,Crystal,822,5,SMN
Strawberry Kea,31214992,12,0,Ragnarok,Chaos,3942,0,0828e8eb3fb4ba1470ad303dab621600_40d57ba713628f3f1ef5ef204b6d76d2fc0.jpg?1736848152,Crystal,208,0,MNK
Menshir Astraea,34431346,13,0,Zodiark,Light,3939,0,507b72595cc70908de27c417ce578372_c274370774c6bc3483cc8740805f41bcfc0.jpg?1736847742,Crystal,344,0,SAM
Shaivonte Alexander,55509042,14,0,Twintania,Light,3894,0,5d384254c762ebe1c6f41c30a765307c_c33f640c0cdd35f7def85b8aa31a0007fc0.jpg?1736850536,Crystal,199,0,RDM
Dragonlife Saijax,29449285,15,18,Moogle,Chaos,3786,301,3c08546d3793d12f77cc0b00d3a3af5b_d7a9d5f85a29d6278ec1c7adc2c8d242fc0.jpg?1736848433,Crystal,205,3,GNB
Crow Xo,44749262,16,17,Zodiark,Light,3767,202,54e5719ccbdb45c6de28f017b4365207_c274370774c6bc3483cc8740805f41bcfc0.jpg?1736850240,Crystal,151,3,SCH
Ji Ri,55687703,17,15,Phantom,Chaos,3751,0,2ea1abc64e195e4caae3aa1b74fea530_f0a43d6e5eea19af337a176e9836acddfc0.jpg?1736849357,Crystal,177,0,RDM
Imy Pure,24943089,18,21,Cerberus,Chaos,3694,290,2e46879ac1baf7fc77ec2de872a0461c_777c57311d510ca65dac3c1077dee435fc0.jpg?1736849527,Crystal,566,11,ARM
Snap Ringer,18714030,19,16,Omega,Chaos,3665,0,77577ce781d587b133c9c53da0974817_39e25ac3d737c46452305eefe324372cfc0.jpg?1736848314,Crystal,225,0,DRK
Taiya Li,41293767,20,19,Phoenix,Light,3547,89,7dc31b9a880ba3f36a3ef1208e0c5909_5047bc596a4bab2dc7f7c120bb22dec5fc0.jpg?1736848923,Crystal,202,11,MNK
Katsumi Seikatsu,22390699,21,20,Cerberus,Chaos,3410,0,6d28bab002e7518fa4a7d1d2056acc43_777c57311d510ca65dac3c1077dee435fc0.jpg?1736850553,Crystal,204,5,WAR
Vanilla Blossom,41496807,22,0,Moogle,Chaos,3275,0,b0e7d1b464d155d8791692fe2e47299d_d7a9d5f85a29d6278ec1c7adc2c8d242fc0.jpg?1736848356,Crystal,422,0,BTN
Slayn Lockmeier,43624360,23,0,Ragnarok,Chaos,3271,0,6e8ed130575c22a15b32af255b35348b_40d57ba713628f3f1ef5ef204b6d76d2fc0.jpg?1736850292,Crystal,289,13,RPR
Ul Unhu,9592278,24,0,Phoenix,Light,3270,0,d703e404c81140848dbcd200abc4ef7e_5047bc596a4bab2dc7f7c120bb22dec5fc0.jpg?1736848196,Crystal,269,3,SCH
Lybel Alyborias,25836089,25,0,Louisoix,Chaos,3251,0,a86b680e6c4e5e23befaaaf535a158de_0a122616f3718d3f45cab10fd8fc1604fc0.jpg?1736849646,Crystal,346,0,GNB
Loty Coldwind,36521588,26,0,Twintania,Light,3236,0,3632cf6d20598f5c4c7b748be7e19153_c33f640c0cdd35f7def85b8aa31a0007fc0.jpg?1736848781,Crystal,589,0,BRD
Mei Ko,35150838,27,0,Louisoix,Chaos,3203,0,9e9f647c9095409b4ca77e89ca61322b_0a122616f3718d3f45cab10fd8fc1604fc0.jpg?1736847982,Crystal,771,0,VPR
Moki Moki,14235486,28,0,Odin,Light,3117,0,82d3ef8d03fa7a6ddf4429f15fd296a2_644311b63b607133c989d7c1188467dafc0.jpg?1736848558,Crystal,230,0,MNK
Shia Sun,1754600,29,41,Odin,Light,3074,510,7550981ba488e5ebe919aa3cb39efbfa_644311b63b607133c989d7c1188467dafc0.jpg?1736847750,Crystal,333,6,BTN
Lsi Lsi,47353875,30,29,Lich,Light,2969,0,792b3235fe2fbd35d956e856c210194f_7206469080400ed57a5373d0a9c55c59fc0.jpg?1736849485,Crystal,338,0,SCH
Meryll Enetari,24681550,31,30,Cerberus,Chaos,2950,0,f4fe16c70d7023e2101e19421c5abf1e_777c57311d510ca65dac3c1077dee435fc0.jpg?1736850553,Crystal,863,8,DNC
Raraimo Eremo,31237998,32,31,Spriggan,Chaos,2874,0,15d73fa6c3dc13fa361df7a1e86e0400_feaf0a2e88ff164813fbc9b85876fa48fc0.jpg?1736848859,Crystal,247,0,BLM
Xen Thique,40172078,33,32,Odin,Light,2863,0,8930228f4df0c18feea28ebbb1c451f2_644311b63b607133c989d7c1188467dafc0.jpg?1736850742,Crystal,384,0,SGE
Cor Rhaxar,26340812,34,33,Spriggan,Chaos,2847,0,f97aae4dc428e40f471590f0fd1c7d65_feaf0a2e88ff164813fbc9b85876fa48fc0.jpg?1736850151,Crystal,386,0,SAM
Sweet Light,41777815,35,34,Spriggan,Chaos,2795,0,2e6808627bd2b8f0f5f0377d20cbbbc5_feaf0a2e88ff164813fbc9b85876fa48fc0.jpg?1736850086,Crystal,360,1,WHM
Alice Kittimo,34781171,36,35,Cerberus,Chaos,2792,0,ec971a9e6eba1c32ecd2e88bec8f2c49_777c57311d510ca65dac3c1077dee435fc0.jpg?1736850046,Crystal,439,0,BTN
Dalik Mathis,9537863,37,36,Ragnarok,Chaos,2788,0,fd4dde44208527cc20e58ba589d51f01_40d57ba713628f3f1ef5ef204b6d76d2fc0.jpg?1736849707,Crystal,300,2,BSM
Ange Melrose,50267939,38,37,Omega,Chaos,2763,0,f2fb3057962bf3d28bcce976076f5368_39e25ac3d737c46452305eefe324372cfc0.jpg?1736848461,Crystal,633,11,NIN
White Flow,27405246,39,73,Shiva,Light,2754,993,fb627f70a20185a985e94a697da7baa5_3fbff0e6b620e4d259dc427abc6574dafc0.jpg?1736849191,Crystal,189,10,PLD
Blue Cat,47356852,40,38,Twintania,Light,2717,0,fc9492796dbee9f84ae010350ec7759c_c33f640c0cdd35f7def85b8aa31a0007fc0.jpg?1736849016,Crystal,251,3,SGE
Farnese Fellcleave,24419493,41,39,Cerberus,Chaos,2636,0,dcec016c4a6cd9a2bd3a2b73183f5a65_777c57311d510ca65dac3c1077dee435fc0.jpg?1736850790,Crystal,253,0,SMN
Graehl Melchkt,11491538,42,40,Odin,Light,2627,0,4ab8318aec9858b661ba769fb25bff39_644311b63b607133c989d7c1188467dafc0.jpg?1736850074,Crystal,219,0,WAR
Luca Natura,26126798,43,42,Omega,Chaos,2554,0,aee9a8f332f96a4c5a45923c0e82782a_39e25ac3d737c46452305eefe324372cfc0.jpg?1736847975,Crystal,420,0,GSM
Vyra Karbon,36843257,44,43,Alpha,Light,2551,0,6c4b3531dd9b5bcc35233751f0ec4efb_6132295fcf5570fb8b0a944ef322a598fc0.jpg?1736847738,Crystal,197,3,SAM
Zot To,18725302,45,44,Cerberus,Chaos,2548,100,852c16bac4fe7f528a8653c65704e818_777c57311d510ca65dac3c1077dee435fc0.jpg?1736847453,Crystal,194,1,RDM
Tyr Neriak,19006698,46,45,Omega,Chaos,2386,0,efc48a1823652a4394af9af66ed7359d_39e25ac3d737c46452305eefe324372cfc0.jpg?1736849729,Crystal,303,5,UNK
Crowny Meowny,37433109,47,46,Phoenix,Light,2342,0,8e5f217a46c4812e4af1b52ebc419e75_5047bc596a4bab2dc7f7c120bb22dec5fc0.jpg?1736850602,Crystal,378,4,MNK
Strom Valentine,19009916,48,47,Cerberus,Chaos,2330,0,a8dc2ae24adfae999c388093e3e213e8_777c57311d510ca65dac3c1077dee435fc0.jpg?1736850471,Crystal,367,6,RDM
Vai Zol,38270926,49,48,Odin,Light,2259,0,2e78b44195db83336b1acbe75927a864_644311b63b607133c989d7c1188467dafc0.jpg?1736848800,Crystal,294,2,RDM
Fiven Fiven,24996868,50,49,Lich,Light,2223,0,f574b4a1ff1aade4f34a98795138319b_7206469080400ed57a5373d0a9c55c59fc0.jpg?1736849180,Crystal,200,0,BTN
Mahou Mahou,47196016,51,50,Odin,Light,2185,0,6e978054777e93d657aa58ae97d863a9_644311b63b607133c989d7c1188467dafc0.jpg?1736848788,Crystal,781,9,UNK
Maerwyn Ralhah,23419478,52,51,Omega,Chaos,2176,0,155ee87d6034e08f0261d59dff681c58_39e25ac3d737c46452305eefe324372cfc0.jpg?1736849159,Crystal,126,0,FSH
Violin Solo,49452799,53,52,Louisoix,Chaos,2101,0,9fa3695a1636915772a5582f96fdaf59_0a122616f3718d3f45cab10fd8fc1604fc0.jpg?1736847872,Crystal,170,0,MNK
Misora Kaiatsa,25126040,54,53,Moogle,Chaos,2098,0,80fa199452585ab77d14128509576300_d7a9d5f85a29d6278ec1c7adc2c8d242fc0.jpg?1736849184,Crystal,153,0,RDM
Lylia Venis,13391767,55,54,Moogle,Chaos,2081,0,79af70239d663a69f312f0788f3cf927_d7a9d5f85a29d6278ec1c7adc2c8d242fc0.jpg?1736848295,Crystal,188,0,BTN
Resilla Frostflow,14658770,56,55,Cerberus,Chaos,2063,0,00a4e6250beb98b5644c87cffe8b7f4f_777c57311d510ca65dac3c1077dee435fc0.jpg?1736849485,Crystal,298,0,DRK
Jun Moxiao,40533777,57,81,Odin,Light,2036,396,9f41b7adf0a59849ae35b17cdace2b32_644311b63b607133c989d7c1188467dafc0.jpg?1736850840,Crystal,610,6,DRK
Enrei Esthule,16223299,58,56,Cerberus,Chaos,2019,0,075328fa236ca776da32524ca8bd395c_777c57311d510ca65dac3c1077dee435fc0.jpg?1736850536,Crystal,232,0,SCH
Auelin Fae,18291844,59,57,Zodiark,Light,2016,0,2d6204db02c5efce86aca234fd6f1ce1_c274370774c6bc3483cc8740805f41bcfc0.jpg?1736850206,Crystal,152,0,NIN
Void Stellarvore,28691685,60,58,Raiden,Light,2008,0,79b02048d874bdc774a96223c423d519_a370664d98f658f4ed4e620f378f73cdfc0.jpg?1736848397,Crystal,746,0,RPR
Cc Cc,47977389,61,59,Cerberus,Chaos,1992,0,9fbc466984f0e36627e12a17c2bddb14_777c57311d510ca65dac3c1077dee435fc0.jpg?1736847831,Crystal,119,0,SAM
Yamizura Kumozuma,19652230,62,60,Twintania,Light,1980,0,24bbc9cebf09eb83efcbc272c3085fd1_c33f640c0cdd35f7def85b8aa31a0007fc0.jpg?1736850925,Crystal,282,0,SCH
Hellfi Kyuten,29239534,63,61,Spriggan,Chaos,1955,0,d208716177266ccd139494605c8e27c1_feaf0a2e88ff164813fbc9b85876fa48fc0.jpg?1736849759,Crystal,210,0,MIN
Yuumi Fish,25707217,64,62,Cerberus,Chaos,1932,0,1a7ebbda26c28eb61f262b9fb37e8c6e_777c57311d510ca65dac3c1077dee435fc0.jpg?1736848785,Crystal,280,0,MCH
Ten Gil,17217146,65,63,Louisoix,Chaos,1912,0,884fcae1e61228d09798c630a2c827fb_0a122616f3718d3f45cab10fd8fc1604fc0.jpg?1736849010,Crystal,178,0,DRG
Lex'ander Wayfarer,18009481,66,64,Odin,Light,1897,0,0adfa03fe11940a91e3b6a2ed08ddb88_644311b63b607133c989d7c1188467dafc0.jpg?1736848162,Crystal,199,0,NIN
Wwwwwwwwww Wwwwwwwwww,22934838,67,65,Odin,Light,1883,0,44b50a04ce7aed4e2c4699753f5b83bc_644311b63b607133c989d7c1188467dafc0.jpg?1736850618,Crystal,130,0,GNB
Sheidyn Windsor,30282791,68,66,Omega,Chaos,1824,0,e3eaa192d0e2b6192580f940474cd0b5_39e25ac3d737c46452305eefe324372cfc0.jpg?1736849029,Crystal,821,19,SAM
Kenz-d Shadow,41456801,69,67,Louisoix,Chaos,1809,0,18a8d4af69a155b89efbc2266506a11f_0a122616f3718d3f45cab10fd8fc1604fc0.jpg?1736850635,Crystal,210,0,SAM
Lure Ll,55749452,70,68,Louisoix,Chaos,1792,0,76301081dc788f1a52938eef4141d892_0a122616f3718d3f45cab10fd8fc1604fc0.jpg?1736848032,Crystal,384,7,SAM
Ylang Mint,55505044,71,69,Twintania,Light,1791,0,0c7289fa670095210fbd9f0e0545ba6e_c33f640c0cdd35f7def85b8aa31a0007fc0.jpg?1736848224,Crystal,203,0,UNK
Vena Attire,43633781,72,70,Zodiark,Light,1791,0,2916b10cce219f77debbcb017215616b_c274370774c6bc3483cc8740805f41bcfc0.jpg?1736850364,Crystal,99,0,AST
Doctor Zoidberg,9214410,73,71,Cerberus,Chaos,1790,0,40bc630c90e57d0ca265dd7fc809d5c8_777c57311d510ca65dac3c1077dee435fc0.jpg?1736849388,Crystal,130,0,WAR
Sice Seven,15008161,74,72,Moogle,Chaos,1782,0,23657ac0d29f4bc5667ef1e00cf528f8_d7a9d5f85a29d6278ec1c7adc2c8d242fc0.jpg?1736849347,Crystal,239,1,BRD
Xiex Xie,40733160,75,74,Zodiark,Light,1715,0,f253e0943a65dac103a6dfd764a01f52_c274370774c6bc3483cc8740805f41bcfc0.jpg?1736849056,Crystal,409,0,DRG
